Measure,Attack Pattern
0,1
0,100
0,103
0,111
0,113
0,116
0,121
0,122
0,123
0,125
0,130
0,131
0,133
0,134
0,135
0,136
0,137
0,138
0,140
0,15
0,150
0,151
0,154
0,159
0,160
0,17
0,173
0,175
0,179
0,180
0,182
0,183
0,19
0,194
0,195
0,196
0,2
0,201
0,202
0,207
0,21
0,212
0,215
0,218
0,219
0,22
0,23
0,230
0,231
0,240
0,242
0,248
0,250
0,251
0,253
0,26
0,28
0,29
0,36
0,384
0,386
0,39
0,40
0,407
0,41
0,416
0,417
0,425
0,426
0,427
0,441
0,442
0,452
0,456
0,464
0,465
0,466
0,468
0,473
0,48
0,482
0,486
0,487
0,488
0,489
0,490
0,492
0,493
0,494
0,495
0,496
0,50
0,501
0,502
0,503
0,504
0,506
0,510
0,528
0,54
0,540
0,542
0,545
0,549
0,554
0,555
0,560
0,569
0,586
0,593
0,6
0,600
0,610
0,616
0,62
0,620
0,627
0,63
0,652
0,653
0,66
0,662
0,663
0,666
0,675
0,676
0,682
0,701
0,74
0,77
0,88
0,89
0,94
0,98
1,1
1,100
1,103
1,111
1,113
1,116
1,121
1,122
1,123
1,125
1,130
1,131
1,133
1,134
1,135
1,136
1,138
1,140
1,145
1,148
1,15
1,150
1,151
1,154
1,159
1,160
1,17
1,173
1,175
1,179
1,180
1,182
1,183
1,19
1,194
1,195
1,196
1,2
1,201
1,202
1,207
1,21
1,212
1,215
1,218
1,219
1,22
1,23
1,230
1,231
1,240
1,242
1,248
1,250
1,251
1,253
1,26
1,28
1,29
1,36
1,384
1,386
1,39
1,40
1,407
1,41
1,416
1,417
1,425
1,426
1,427
1,441
1,442
1,452
1,456
1,464
1,465
1,466
1,468
1,473
1,48
1,482
1,486
1,487
1,488
1,489
1,490
1,492
1,493
1,494
1,495
1,496
1,50
1,501
1,502
1,503
1,504
1,506
1,510
1,528
1,54
1,540
1,542
1,545
1,549
1,554
1,555
1,560
1,569
1,586
1,593
1,6
1,600
1,610
1,616
1,62
1,620
1,627
1,63
1,652
1,653
1,66
1,662
1,663
1,666
1,675
1,676
1,682
1,701
1,74
1,77
1,88
1,89
1,94
1,98
2,1
2,100
2,103
2,113
2,116
2,121
2,122
2,123
2,125
2,130
2,131
2,133
2,134
2,135
2,136
2,138
2,140
2,15
2,150
2,151
2,154
2,159
2,160
2,17
2,173
2,175
2,180
2,182
2,183
2,19
2,194
2,195
2,196
2,201
2,202
2,207
2,21
2,215
2,218
2,219
2,22
2,23
2,230
2,231
2,240
2,242
2,248
2,250
2,251
2,253
2,26
2,28
2,29
2,36
2,384
2,386
2,39
2,40
2,407
2,41
2,416
2,417
2,425
2,426
2,427
2,441
2,442
2,452
2,456
2,466
2,468
2,473
2,482
2,486
2,487
2,488
2,489
2,490
2,492
2,493
2,494
2,495
2,496
2,501
2,502
2,503
2,504
2,506
2,510
2,528
2,54
2,540
2,542
2,545
2,549
2,555
2,560
2,569
2,593
2,6
2,600
2,610
2,616
2,62
2,627
2,63
2,652
2,653
2,66
2,662
2,663
2,666
2,675
2,676
2,701
2,74
2,77
2,88
2,89
2,94
2,98
3,1
3,113
3,121
3,122
3,125
3,130
3,131
3,133
3,134
3,135
3,136
3,138
3,140
3,15
3,154
3,159
3,160
3,17
3,175
3,179
3,180
3,182
3,183
3,19
3,196
3,201
3,202
3,207
3,21
3,218
3,219
3,22
3,23
3,230
3,231
3,240
3,242
3,248
3,250
3,251
3,253
3,36
3,384
3,386
3,39
3,40
3,41
3,441
3,442
3,452
3,456
3,464
3,465
3,466
3,468
3,482
3,486
3,487
3,488
3,489
3,490
3,492
3,493
3,494
3,495
3,496
3,502
3,503
3,510
3,528
3,554
3,555
3,560
3,586
3,593
3,6
3,600
3,610
3,616
3,62
3,627
3,63
3,652
3,653
3,66
3,662
3,663
3,666
3,676
3,701
3,74
3,77
3,88
3,94
4,1
4,100
4,103
4,111
4,113
4,116
4,121
4,122
4,123
4,125
4,130
4,131
4,133
4,134
4,135
4,136
4,137
4,138
4,140
4,145
4,148
4,15
4,150
4,151
4,154
4,159
4,160
4,17
4,173
4,175
4,179
4,180
4,182
4,183
4,19
4,194
4,195
4,196
4,2
4,201
4,202
4,207
4,21
4,212
4,218
4,219
4,22
4,23
4,230
4,231
4,240
4,242
4,248
4,250
4,251
4,253
4,26
4,29
4,36
4,384
4,386
4,39
4,40
4,41
4,441
4,442
4,452
4,456
4,464
4,465
4,466
4,468
4,473
4,48
4,482
4,486
4,487
4,488
4,489
4,490
4,492
4,493
4,494
4,495
4,496
4,50
4,501
4,502
4,503
4,504
4,506
4,510
4,528
4,54
4,540
4,542
4,545
4,549
4,554
4,555
4,560
4,569
4,586
4,593
4,6
4,600
4,610
4,616
4,62
4,620
4,627
4,63
4,652
4,653
4,66
4,662
4,663
4,666
4,675
4,676
4,682
4,701
4,74
4,77
4,88
4,89
4,94
4,98
5,1
5,100
5,103
5,113
5,116
5,121
5,122
5,123
5,125
5,130
5,131
5,133
5,134
5,135
5,136
5,138
5,140
5,15
5,150
5,151
5,154
5,159
5,160
5,17
5,173
5,175
5,179
5,180
5,182
5,183
5,19
5,194
5,195
5,201
5,202
5,207
5,218
5,219
5,22
5,23
5,230
5,231
5,240
5,242
5,248
5,250
5,251
5,253
5,26
5,29
5,36
5,384
5,386
5,39
5,40
5,41
5,441
5,442
5,452
5,456
5,464
5,465
5,466
5,468
5,473
5,482
5,486
5,487
5,488
5,489
5,490
5,492
5,493
5,494
5,495
5,496
5,501
5,502
5,503
5,504
5,506
5,528
5,54
5,540
5,542
5,545
5,549
5,554
5,569
5,6
5,610
5,616
5,627
5,63
5,66
5,662
5,663
5,666
5,675
5,676
5,701
5,74
5,77
5,88
5,89
5,94
5,98
6,103
6,111
6,151
6,173
6,194
6,195
6,2
6,212
6,407
6,416
6,417
6,425
6,426
6,427
6,473
6,48
6,50
6,501
6,504
6,506
6,620
6,682
6,89
6,98
7,1
7,103
7,116
7,122
7,131
7,150
7,151
7,154
7,159
7,17
7,173
7,180
7,194
7,195
7,196
7,201
7,202
7,207
7,21
7,218
7,219
7,22
7,240
7,384
7,386
7,39
7,466
7,473
7,501
7,502
7,503
7,504
7,506
7,510
7,54
7,545
7,569
7,593
7,610
7,616
7,62
7,627
7,662
7,675
7,701
7,77
7,89
7,94
7,98
8,1
8,111
8,122
8,151
8,17
8,180
8,194
8,195
8,2
8,201
8,212
8,407
8,416
8,417
8,425
8,426
8,427
8,473
8,48
8,50
8,503
8,555
8,560
8,600
8,620
8,652
8,653
8,682
8,89
8,98
9,1
9,103
9,122
9,151
9,17
9,173
9,180
9,194
9,195
9,196
9,201
9,21
9,219
9,384
9,386
9,407
9,416
9,417
9,425
9,426
9,427
9,466
9,473
9,501
9,503
9,504
9,506
9,510
9,555
9,560
9,593
9,600
9,62
9,652
9,653
9,662
9,701
9,89
9,94
9,98
